Id,Queue Id,State,Associated Skill Area,Created At,Skill Pre Assessment Percentage,Behavioral Pre Assessment Percentage,Content Provider,First Name,Last Name,Email
16b676d9-7685-400a-8a44-bf1532a94d47,000001,RIVERS,"{'name': 'Parallel Computing', 'module': 'advanced', 'skill_area_id': '354d641f-a669-49d9-ab9e-8e2dba996321'}",2025-12-01T10:01:57.889228+00:00,90.0,0.0,none,Chiamaka,Okafor,chiamaka.okafor398854@hotmail.com
d8c8f559-11cc-4977-b825-67934f9cda1b,000002,LAGOS,"{'name': 'Proactive Security', 'module': 'intermediate', 'skill_area_id': '48eaa4ea-b195-4383-9c08-dafeb162b676'}",2026-03-18T08:35:18.736666+00:00,60.0,0.0,COURSERA,CHUKWUNONSO,INYA,chukwunonso123@yopmail.com
448eef28-1012-4bf4-8ba6-aa0005cce0c3,000003,AKWA IBOM,"{'name': 'AI & Machine Learning', 'module': 'advanced', 'skill_area_id': '4068902d-684a-4783-bd02-704f10671fb8'}",2025-12-01T10:02:00.584590+00:00,60.0,0.0,none,Ngozi,Mohammed,ngozi.mohammed522573@hotmail.com
2e667fcc-f2c9-4848-8646-3d19349a226e,000004,OGUN,"{'name': 'Cloud Technologies', 'module': 'advanced', 'skill_area_id': 'b954206d-3405-4a7d-87dc-888bd4b04e39'}",2025-12-01T10:01:54.693477+00:00,100.0,0.0,none,Funke,Nwosu,funke.nwosu952913@gmail.com
ea2971b7-e775-4111-bb96-79cdaabca13d,000005,BORNO,"{'name': 'Parallel Computing', 'module': 'advanced', 'skill_area_id': '354d641f-a669-49d9-ab9e-8e2dba996321'}",2025-12-01T10:02:02.902948+00:00,77.8,0.0,none,Adeola,Mohammed,adeola.mohammed004491@yahoo.com
469d0d4a-bfd1-4a62-815a-5a2e650db348,000006,DELTA,"{'name': 'Cloud Technologies', 'module': 'advanced', 'skill_area_id': 'b954206d-3405-4a7d-87dc-888bd4b04e39'}",2025-12-01T10:01:59.266522+00:00,66.7,0.0,none,Emeka,Okafor,emeka.okafor874666@example.ng
ce7177fe-eed3-4e25-9f4f-b8da528da981,000007,SOKOTO,"{'name': 'Connected Technologies', 'module': 'advanced', 'skill_area_id': '72ddeac0-9f96-434e-bf97-c0f4370f2a18'}",2025-12-01T10:02:01.043781+00:00,55.6,0.0,none,Adeola,Salami,adeola.salami379365@yahoo.com
038a334c-a063-4c1b-8bc5-b0749925325a,000008,BAYELSA,"{'name': 'Natural Language Processing', 'module': 'advanced', 'skill_area_id': 'd10a7bad-0fea-484d-af0f-4f025e51435e'}",2025-12-01T10:02:01.568131+00:00,70.0,0.0,none,Funke,Mohammed,funke.mohammed720446@yahoo.com
17b6a090-1388-4a2e-abf7-3baae5c77907,000009,KOGI,"{'name': 'FinTech', 'module': 'advanced', 'skill_area_id': 'b899be2c-bad4-48a9-bf4e-ebc406780878'}",2025-12-01T10:02:02.194655+00:00,80.0,0.0,none,Biola,Okafor,biola.okafor414618@hotmail.com
38761772-9644-4dc6-9c65-4575291ff369,000010,BAYELSA,"{'name': 'IT Automation', 'module': 'advanced', 'skill_area_id': 'c0ce16b5-d3e5-40d3-b635-4546b47d2d07'}",2025-12-01T10:01:55.747744+00:00,84.2,0.0,none,Tunde,Ogunleye,tunde.ogunleye551764@yahoo.com
