Id,Rating,Description,Students Count,Email,Status,Training Center,Last Active,Institution,Name
bbc8641e-e622-4a8c-accc-5a19b15f00a2,0.0,Facilitator for Cypress Testing,0,karelle.jenkins@gmail.com,DISABLED,Lekki,2026-05-07T13:27:38.256450+00:00,Lekki uni,Josh Willms
b72809a3-9583-4e12-ab9a-b56a287b6e7c,0.0,Facilitator for Cypress Testing,0,ariel8@hotmail.com,DISABLED,Lekki,2026-05-01T18:23:24.068387+00:00,Lekki uni,Clarence Kshlerin
e6709076-b0b6-442a-b5f7-02208f9bcfc3,0.0,Facilitator for Cypress Testing,0,yolanda4@yahoo.com,DISABLED,Lekki,2026-05-01T18:21:31.015525+00:00,Lekki uni,Carlton Runte
20148eb2-3427-48c8-a388-50fbaf717a2a,0.0,Facilitator for Cypress Testing,0,astrid48@hotmail.com,DISABLED,Lekki,2026-05-01T18:17:08.572043+00:00,Lekki uni,Levi Runolfsson
8645f43c-8ac1-4718-aa5e-dfe0bb5f41ce,0.0,Facilitator for Cypress Testing,0,randal.price93@hotmail.com,DISABLED,Lekki,2026-05-01T18:12:36.005750+00:00,Lekki uni,Christie Buckridge
3346597f-5ab0-4bb6-b298-d3c06ee09935,0.0,Facilitator for Cypress Testing,0,mauricio.romaguera-dooley@yahoo.com,DISABLED,Lekki,2026-05-01T18:11:40.777275+00:00,Lekki uni,Myrtis Fritsch
78a58d4f-5c5a-41e6-bc90-d293c35d517b,0.0,Facilitator for Cypress Testing,0,meredith.schmeler69@gmail.com,DISABLED,Lekki,2026-05-01T18:09:40.914997+00:00,Lekki uni,Jacqueline Ortiz
96192ebc-f257-47a0-bcfa-83e651410b72,0.0,teacher,0,alabi.olamonday2@gmail.com,DISABLED,AAA,2026-04-22T13:09:42.344400+00:00,Wilderman and Son,Nonso inya
f370ecfb-bb94-43aa-ab42-7252abdd190e,0.0,Description,0,amakaifende@yopmail.com,DISABLED,University of Abuja,2026-04-22T13:03:08.998255+00:00,University of Abuja,Amaka Ify
655a4056-0df9-4340-b32f-d0ac038e87b3,0.0,Olodo of africa,0,olodo@yopmail.com,DISABLED,AAA,2026-04-22T12:46:07.535431+00:00,Wilderman and Son,Olodo olodo
