Id,Rating,Description,Current Mentees Count,Overall Mentees Count,Email,Status,Last Active,Name,Institution,Training Center
0d144531-fccf-40ca-b4a1-afecf6115aa8,0.0,Eligendi aegrotatio texo ut libero terreo audentia virgo.,0,0,vergie.bashirian@yahoo.com,DISABLED,2026-05-12T08:57:43.108774+00:00,Dave Wisoky,Lekki uni,Lekki
24ef04a1-f237-4bde-a520-10b4c71ba624,0.0,Repellendus adulatio timor conventus subseco.,0,0,arlo40@yahoo.com,DISABLED,2026-05-09T10:26:10.049656+00:00,Ben Lueilwitz,Lekki uni,Lekki
cf3645b6-081a-426c-a34e-2413bb46092b,0.0,Voveo armarium abduco debitis adipiscor sordeo cruentus.,0,0,harold_walsh@gmail.com,DISABLED,2026-05-09T10:24:37.611257+00:00,Selina Ernser,Lekki uni,Lekki
80e0059d-d229-4a7d-87c7-4b3de759f29f,0.0,Officia benigne cauda utpote corona degenero.,0,0,abby.bailey@gmail.com,DISABLED,2026-05-09T09:51:08.772350+00:00,Elmer Johnson,Lekki uni,Lekki
01ac9d64-1f95-4775-a14f-131b5e117d41,0.0,Summisse desipio ustulo viriliter voluptate aeternus thesaurus qui titulus sopor.,0,0,warren.pfannerstill30@gmail.com,DISABLED,2026-05-07T13:31:39.487029+00:00,Burnice Stokes,Lekki uni,Lekki
6faeaf1d-8cfe-4729-a4b3-0b28cb25e815,0.0,Arcesso via argumentum.,0,0,osbaldo.cole@hotmail.com,DISABLED,2026-05-07T13:28:54.640815+00:00,Henry Hessel,Lekki uni,Lekki
12477602-12bf-4a92-b6e4-5ef6ec0e87db,0.0,Tergum thalassinus aeneus tumultus.,0,0,dorothy94@gmail.com,DISABLED,2026-05-02T12:42:29.399654+00:00,Sonny O'Conner,Lekki uni,Lekki
7d3e3acf-c945-479b-b445-59b35a957203,0.0,Bellum labore civis centum carbo vitium absorbeo.,0,0,savanah68@gmail.com,DISABLED,2026-05-02T12:40:45.938464+00:00,Victor Purdy,Lekki uni,Lekki
4bcb63e0-877c-4f97-bb5d-dc0deb0fb28b,0.0,Prof,0,0,ali@yopmail.com,DISABLED,2026-05-02T12:18:30.728765+00:00,Ali Ali,Lekki uni,Lekki
bdc1dcc5-1d34-40b5-b971-c07073663af2,1.7,Mean cup people myself. Accept fish him executive support speak.,0,2,mentor@sample.com,ACTIVE,2026-04-26T19:32:13.847048+00:00,Ngozi Adeyemi,Griffith PLC University 0,Howard Inc
4cf8b6bb-5867-4614-b514-432e2fac8858,0.0,Ex presido,0,0,olusegun@yopmail.com,DISABLED,2026-04-22T12:55:09.579903+00:00,Olusegun Obasanjo,Wilderman and Son,AAA
d31e9ad6-f693-4fa3-b20d-a802dac91f1c,0.0,Mentor for Cypress testing,0,0,hilbert.boyle60@gmail.com,DISABLED,2026-04-15T10:20:29.013248+00:00,Peter Treutel,Lekki uni,Lekki
d115f047-5c4b-495f-8c78-5e0483d6e7db,0.0,Mentor for Cypress testing,0,0,adrian53@gmail.com,DISABLED,2026-04-14T23:05:38.471011+00:00,Antonio Strosin,Lekki uni,Lekki
7d70dce6-6c91-448a-8f4a-ae10f85aa258,0.0,Mentor for Cypress testing,0,0,eduardo_herzog@hotmail.com,DISABLED,2026-04-14T23:03:53.961858+00:00,Diane Larkin,Lekki uni,Lekki
